Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2005-01-03,5.048685073852539,5.0718473253430965,4.868116134317353,4.91643429842314,633134232
2005-01-04,4.844206809997559,5.054164352299879,4.818803645384227,5.016058418959221,549685764
2005-01-05,4.819551467895508,4.903981439820686,4.7876718676839065,4.81805657774625,329134536
2005-01-06,4.696016788482666,4.879075330447493,4.675345543642519,4.8586532339507285,415068516
2005-01-07,4.8280181884765625,4.837980799739268,4.701745068637537,4.748070522885155,386129484
2005-01-10,4.858154296875,4.933868340287564,4.77770880794102,4.844206735804347,301282416
2005-01-11,4.8202972412109375,4.924156034048842,4.8113312227548946,4.872101588888919,278069652
2005-01-12,4.866124153137207,4.879822565751809,4.74458342707102,4.8399730695713785,326784888
2005-01-13,4.8648786544799805,4.916185649543547,4.832999059053065,4.86612392151583,273702024
2005-01-14,4.980442047119141,4.9814386403742335,4.834991634379435,4.881565759167437,385226388
2005-01-18,5.078323841094971,5.106218490015871,4.9478156658649874,5.005349002135211,526377096
2005-01-19,4.913943767547607,5.113192206465935,4.899250184652232,5.097002309803066,449857692
2005-01-20,4.829761981964111,4.887792664847129,4.781942584592285,4.794395256052694,359703936
2005-01-21,4.6892924308776855,4.865626332901487,4.685307481258119,4.845203288138108,369965664
2005-01-24,4.501003742218018,4.715443579640816,4.491041605315506,4.69950378094219,560347092
2005-01-25,4.411341667175293,4.538861006030592,4.390670422908849,4.531388454209584,425941632
2005-01-26,4.713202476501465,4.717436574766344,4.461901009017797,4.464889840095158,491823684
2005-01-27,4.6843109130859375,4.703736888086268,4.612581826815357,4.701246828702217,264830904
2005-01-28,4.740599155426025,4.849188929405517,4.640975400727336,4.7326292550501305,487839672
2005-01-31,4.872101306915283,4.890532588587987,4.774969050456133,4.824033238063522,383484132
2005-02-01,4.779451847076416,4.898004228433394,4.747822344512232,4.841218809472532,752806440
2005-02-02,5.129629611968994,5.39961009288482,5.072346845582557,5.368477937980577,1310660028
2005-02-03,5.251668930053711,5.314183335083787,5.125893624088235,5.130376870634699,519004476
2005-02-04,5.089779853820801,5.17421124453689,5.045945406081059,5.142331646180714,592179228
2005-02-07,4.8823137283325195,5.140588016644486,4.86936276030791,5.112196020894821,517897584
2005-02-08,4.947318077087402,4.981688683079207,4.844954178684555,4.905475868462046,458740800
2005-02-09,4.771481990814209,5.021039902552181,4.718681521376414,5.000119033464497,686173140
2005-02-10,4.681820392608643,4.7871726473532705,4.613827574746938,4.781194985590161,758548692
